v1 (V),v2 (V),v3 (V),time (ms)
0.0,2.88,2.878,0.0
0.0,2.877,2.878,1.0
0.0,2.877,2.883,2.0
0.0,2.878,2.878,3.0
0.0,2.877,2.878,4.0
0.0,2.876,2.878,5.0
0.0,2.877,2.877,6.0
0.0,2.935,2.931,7.0
0.0,2.934,2.935,8.0
0.0,2.933,2.934,9.0
0.0,2.936,2.936,10.0
0.0,2.935,2.934,11.0
0.0,2.935,2.936,12.0
0.0,2.935,2.936,13.0
0.0,2.935,2.941,14.0
0.0,2.88,2.874,15.0
0.0,2.89,2.89,16.0
0.0,2.878,2.877,17.0
0.0,2.878,2.877,18.0
0.0,2.877,2.0,19.0
0.0,2.877,2.877,20.0
0.0,2.877,2.877,21.0
0.0,2.877,2.877,22.0
0.0,2.878,2.877,23.0
0.0,2.933,2.935,24.0
0.0,2.937,2.935,25.0
0.0,2.935,2.936,26.0
0.0,2.933,2.936,27.0
0.0,2.935,2.936,28.0
0.0,2.934,2.927,29.0
0.0,2.935,2.94,30.0
0.0,2.935,2.935,31.0
0.0,2.89,2.889,32.0
0.0,2.877,2.877,33.0
0.0,2.878,2.878,34.0
0.0,2.876,2.877,35.0
0.0,2.878,2.878,36.0
0.0,2.877,2.877,37.0
0.0,2.877,2.878,38.0
0.0,2.877,2.877,39.0
0.0,2.934,2.935,40.0
0.0,2.935,2.936,41.0
0.0,2.934,2.941,42.0
0.0,2.935,2.936,43.0
0.0,2.934,2.941,44.0
0.0,2.935,2.93,45.0
0.0,2.934,2.936,46.0
0.0,2.936,2.936,47.0
0.0,2.889,2.89,48.0
0.0,2.878,2.878,49.0
0.0,2.878,2.87,50.0
0.0,2.871,2.877,52.0
0.0,2.877,2.877,53.0
0.0,2.878,2.878,54.0
0.0,2.878,2.877,55.0
0.0,2.936,2.936,56.0
0.0,2.936,2.935,57.0
0.0,2.935,2.935,58.0
0.0,2.935,2.933,59.0
0.0,2.934,2.935,60.0
0.0,2.934,2.935,61.0
0.0,2.934,2.931,62.0
0.0,2.934,2.934,63.0
0.0,2.883,2.884,64.0
0.0,2.877,2.877,65.0
0.0,2.878,2.878,66.0
0.0,2.877,2.877,67.0
0.0,2.876,2.877,68.0
0.0,2.877,2.877,69.0
0.0,2.878,2.878,70.0
0.0,2.877,2.878,71.0
0.0,2.933,2.935,72.0
0.0,2.934,2.936,73.0
0.0,2.936,2.935,74.0
0.0,2.936,2.934,75.0
0.0,2.935,2.936,76.0
0.0,2.935,2.935,77.0
0.0,2.935,2.927,78.0
0.0,2.935,2.936,79.0
